player,item_id,item_name
Fuldrak,50402,Ashen Band of Endless Vengeance
Fuldrak,50363,Deathbringer's Will
Fuldrak,50343,Whispering Fanged Skull
Fuldrak,50733,"Fal'inrush, Defender of Quel'thalas"
Gosseyn,50712,Landsoul's Horned Greathelm
Gosseyn,51842,Collar of Haughty Disdain
Gosseyn,50674,Raging Behemoth's Shoulderplates
Gosseyn,50677,Winding Sheet
Gosseyn,50606,Gendarme's Cuirass
Gosseyn,51832,Taiga Bindings
Gosseyn,50737,"Havoc's Call, Blade of Lordaeron Kings"
Gosseyn,50737,"Havoc's Call, Blade of Lordaeron Kings"
Gosseyn,50690,Fleshrending Gauntlets
Gosseyn,50620,Coldwraith Links
Gosseyn,50624,Scourge Reaver's Legplates
Gosseyn,50639,Blood-Soaked Saronite Stompers
Gosseyn,52572,Ashen Band of Endless Might
Gosseyn,50657,Skeleton Lord's Circle
Gosseyn,47131,Death's Verdict
Gosseyn,50363,Deathbringer's Will
Gosseyn,47673,Sigil of Virulence
Krikhammer,50640,Broken Ram Skull Helm
Krikhammer,50627,Noose of Malachite
Krikhammer,50660,Boneguard Commander's Pauldrons
Krikhammer,50718,Royal Crimson Cloak
Krikhammer,52030,Conqueror's Mark of Sanctification
Krikhammer,50611,Bracers of Dark Reckoning
Krikhammer,50738,"Mithrios, Bronzebeard's Legacy"
Krikhammer,50729,Icecrown Glacial Wall
Krikhammer,50716,Taldaram's Plated Fists
Krikhammer,50691,Belt of Broken Bones
Krikhammer,52030,Conqueror's Mark of Sanctification
Krikhammer,50625,Grinning Skull Greatboots
Krikhammer,50642,Juggernaut Band
Krikhammer,50622,Devium's Eternally Cold Ring
Krikhammer,50364,Sindragosa's Flawless Fang
Krikhammer,50356,Corroded Skeleton Key
Krikhammer,50461,Libram of the Eternal Tower
Linacool,52028,Vanquisher's Mark of Sanctification
Linacool,50609,Bone Sentinel's Amulet
Linacool,52028,Vanquisher's Mark of Sanctification
Linacool,50668,Greatcloak of the Turned Champion
Linacool,50717,Sanguine Silk Robes
Linacool,50630,Bracers of Eternal Dreaming
Linacool,46017,"Val'anyr, Hammer of Ancient Kings"
Linacool,50635,Sundial of Eternal Dusk
Linacool,52028,Vanquisher's Mark of Sanctification
Linacool,50705,Professor's Bloodied Smock
Linacool,52028,Vanquisher's Mark of Sanctification
Linacool,49894,Blessed Cenarion Boots
Linacool,50636,Memory of Malygos
Linacool,50400,Ashen Band of Endless Wisdom
Linacool,50366,Althor's Abacus
Linacool,47059,Solace of the Defeated
Linacool,50454,Idol of the Black Willow
Mokà,52030,Conqueror's Mark of Sanctification
Mokà,50700,Holiday's Grace
Mokà,52030,Conqueror's Mark of Sanctification
Mokà,50628,Frostbinder's Shredded Cape
Mokà,52030,Conqueror's Mark of Sanctification
Mokà,50686,Death Surgeon's Sleeves
Mokà,50734,Royal Scepter of Terenas II
Mokà,47146,Chalice of Searing Light
Mokà,52030,Conqueror's Mark of Sanctification
Mokà,50702,Lingering Illness
Mokà,51882,Kilt of Untreated Wounds
Mokà,50699,Plague Scientist's Boots
Mokà,50400,Ashen Band of Endless Wisdom
Mokà,50664,Ring of Rapid Ascent
Mokà,50366,Althor's Abacus
Mokà,47059,Solace of the Defeated
Mokà,50631,Nightmare Ender
Nordton,52029,Protector's Mark of Sanctification
Nordton,50633,Sindragosa's Cruel Claw
Nordton,52029,Protector's Mark of Sanctification
Nordton,47545,Vereesa's Dexterity
Nordton,52029,Protector's Mark of Sanctification
Nordton,50670,Toskk's Maximized Wristguards
Nordton,49623,Shadowmourne
Nordton,50730,"Glorenzelg, High-Blade of the Silver Hand"
Nordton,50675,Aldriana's Gloves of Secrecy
Nordton,50620,Coldwraith Links
Nordton,52029,Protector's Mark of Sanctification
Nordton,50639,Blood-Soaked Saronite Stompers
Nordton,50618,Frostbrood Sapphire Ring
Nordton,50402,Ashen Band of Endless Vengeance
Nordton,50343,Whispering Fanged Skull
Nordton,50363,Deathbringer's Will
Nordton,50733,"Fal'inrush, Defender of Quel'thalas"
Seina,52030,Conqueror's Mark of Sanctification
Seina,50724,Blood Queen's Crimson Choker
Seina,52030,Conqueror's Mark of Sanctification
Seina,50628,Frostbinder's Shredded Cape
Seina,50680,Rot-Resistant Breastplate
Seina,50721,Crypt Keeper's Bracers
Seina,46017,"Val'anyr, Hammer of Ancient Kings"
Seina,50616,Bulwark of Smouldering Steel
Seina,50650,Fallen Lord's Handguards
Seina,50613,Crushing Coldwraith Belt
Seina,51928,Corrupted Silverplate Leggings
Seina,50699,Plague Scientist's Boots
Seina,50400,Ashen Band of Endless Wisdom
Seina,50664,Ring of Rapid Ascent
Seina,46051,Meteorite Crystal
Seina,37111,Soul Preserver
Seina,40705,Libram of Renewal
Sharpélune,52028,Vanquisher's Mark of Sanctification
Sharpélune,50633,Sindragosa's Cruel Claw
Sharpélune,52028,Vanquisher's Mark of Sanctification
Sharpélune,47545,Vereesa's Dexterity
Sharpélune,52028,Vanquisher's Mark of Sanctification
Sharpélune,50670,Toskk's Maximized Wristguards
Sharpélune,50735,"Oathbinder, Charge of the Ranger-General"
Sharpélune,50675,Aldriana's Gloves of Secrecy
Sharpélune,50707,Astrylian's Sutured Cinch
Sharpélune,52028,Vanquisher's Mark of Sanctification
Sharpélune,50607,Frostbitten Fur Boots
Sharpélune,50604,Band of the Bone Colossus
Sharpélune,50402,Ashen Band of Endless Vengeance
Sharpélune,50363,Deathbringer's Will
Sharpélune,50343,Whispering Fanged Skull
Sharpélune,50456,Idol of the Crying Moon
Skotia,52028,Vanquisher's Mark of Sanctification
Skotia,50609,Bone Sentinel's Amulet
Skotia,52028,Vanquisher's Mark of Sanctification
Skotia,50668,Greatcloak of the Turned Champion
Skotia,50717,Sanguine Silk Robes
Skotia,50630,Bracers of Eternal Dreaming
Skotia,46017,"Val'anyr, Hammer of Ancient Kings"
Skotia,50635,Sundial of Eternal Dusk
Skotia,52028,Vanquisher's Mark of Sanctification
Skotia,50705,Professor's Bloodied Smock
Skotia,52028,Vanquisher's Mark of Sanctification
Skotia,50699,Plague Scientist's Boots
Skotia,50610,Marrowgar's Frigid Eye
Skotia,50636,Memory of Malygos
Skotia,47059,Solace of the Defeated
Skotia,50366,Althor's Abacus
Skotia,50454,Idol of the Black Willow
Supermerguez,52030,Conqueror's Mark of Sanctification
Supermerguez,50658,Amulet of the Silent Eulogy
Supermerguez,52030,Conqueror's Mark of Sanctification
Supermerguez,50668,Greatcloak of the Turned Champion
Supermerguez,50717,Sanguine Silk Robes
Supermerguez,50686,Death Surgeon's Sleeves
Supermerguez,50732,"Bloodsurge, Kel'Thuzad's Blade of Agony"
Supermerguez,50635,Sundial of Eternal Dusk
Supermerguez,52030,Conqueror's Mark of Sanctification
Supermerguez,50702,Lingering Illness
Supermerguez,52030,Conqueror's Mark of Sanctification
Supermerguez,50699,Plague Scientist's Boots
Supermerguez,50636,Memory of Malygos
Supermerguez,50714,Valanar's Other Signet Ring
Supermerguez,50365,Phylactery of the Nameless Lich
Supermerguez,50348,Dislodged Foreign Object
Supermerguez,50631,Nightmare Ender
